20:02:02 11/19/2013,16.000000,5.000000,0.232908,-0.306458,9.953752
20:02:07 11/19/2013,16.000000,5.000000,0.214520,-0.337104,9.935365
20:02:13 11/19/2013,16.000000,5.000000,0.202262,-0.306458,9.959881
20:02:18 11/19/2013,16.000000,5.000000,0.190004,-0.306458,9.959881
20:02:23 11/19/2013,16.000000,5.000000,0.220650,-0.300329,9.972139
20:02:28 11/19/2013,16.000000,5.000000,0.190004,-0.306458,9.898589
20:02:33 11/19/2013,16.000000,5.000000,0.171616,-0.306458,9.972139
20:02:39 11/19/2013,16.000000,5.000000,0.171616,-0.306458,9.978269
20:02:44 11/19/2013,16.000000,5.000000,0.202262,-0.306458,9.947622
20:02:49 11/19/2013,16.000000,5.000000,0.202262,-0.306458,9.929235
20:02:54 11/19/2013,16.000000,5.000000,0.177746,-0.349362,9.984398
20:02:59 11/19/2013,16.000000,5.000000,0.159358,-0.306458,9.959881
20:03:04 11/19/2013,16.000000,5.000000,0.190004,-0.306458,9.959881
20:03:10 11/19/2013,16.000000,5.000000,0.220650,-0.306458,9.972139
20:03:15 11/19/2013,16.000000,5.000000,0.190004,-0.306458,9.966010
20:03:20 11/19/2013,16.000000,5.000000,0.208391,-0.306458,9.959881
20:03:25 11/19/2013,16.000000,5.000000,0.202262,-0.306458,9.959881
20:03:31 11/19/2013,16.000000,5.000000,0.190004,-0.306458,9.947622
20:03:36 11/19/2013,16.000000,5.000000,0.226779,-0.306458,9.953752
20:03:41 11/19/2013,16.000000,5.000000,0.263554,-0.306458,9.959881
20:03:46 11/19/2013,16.000000,5.000000,0.232908,-0.306458,9.953752
20:03:51 11/19/2013,10.769231,2.500000,0.202262,-0.306458,9.959881
20:03:56 11/19/2013,0.000000,3.333333,-0.018387,-0.349362,9.941494
20:04:02 11/19/2013,0.000000,2.500000,0.110325,-0.312587,9.947622
20:04:07 11/19/2013,8.692307,3.000000,0.169080,-0.306458,9.954597
20:04:12 11/19/2013,16.000000,5.000000,0.176803,-0.306458,9.995241
20:04:17 11/19/2013,16.000000,5.000000,0.232485,-0.306458,9.970448
20:04:22 11/19/2013,16.000000,5.000000,0.188589,-0.306458,9.953988
20:04:28 11/19/2013,16.000000,5.000000,0.224371,-0.306458,9.959880
20:04:33 11/19/2013,16.000000,5.000000,0.196133,-0.306458,9.953752
20:04:38 11/19/2013,16.000000,5.000000,0.202262,-0.306458,9.959881
20:04:43 11/19/2013,16.000000,5.000000,0.208391,-0.306458,9.947622
20:04:48 11/19/2013,16.000000,5.000000,0.214520,-0.306458,9.959881
20:04:54 11/19/2013,16.000000,5.000000,0.183875,-0.306458,9.972139
20:04:59 11/19/2013,16.000000,5.000000,0.196133,-0.306458,9.947622
20:05:04 11/19/2013,16.000000,5.000000,0.220650,-0.312587,9.953752
20:05:09 11/19/2013,16.000000,5.000000,0.214520,-0.306458,9.953752
20:05:14 11/19/2013,16.000000,5.000000,0.226779,-0.306458,9.947622
20:05:20 11/19/2013,16.000000,5.000000,0.183875,-0.306458,9.966010
20:05:25 11/19/2013,16.000000,5.000000,0.177746,-0.306458,9.959881
20:05:30 11/19/2013,16.000000,5.000000,0.220650,-0.318716,9.757619
20:05:35 11/19/2013,16.000000,5.000000,0.202262,-0.306458,9.935365
20:05:40 11/19/2013,16.000000,5.000000,0.196133,-0.306458,9.959881
20:05:46 11/19/2013,16.000000,5.000000,0.214520,-0.306458,9.953752
20:05:51 11/19/2013,16.000000,5.000000,0.202262,-0.306458,9.966010
20:05:56 11/19/2013,16.000000,5.000000,0.190004,-0.306458,9.953752
20:06:01 11/19/2013,16.000000,5.000000,0.208391,-0.306458,9.959881
20:06:06 11/19/2013,16.000000,5.000000,0.177746,-0.306458,9.923106
20:06:12 11/19/2013,16.000000,5.000000,0.159358,-0.306458,9.953752
20:06:17 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.941494
20:06:22 11/19/2013,16.000000,5.000000,0.183875,-0.306458,9.953752
20:06:27 11/19/2013,16.000000,5.000000,0.232908,-0.306458,9.959881
20:06:32 11/19/2013,16.000000,5.000000,0.214520,-0.275812,9.843427
20:06:38 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.953752
20:06:43 11/19/2013,16.000000,5.000000,0.196133,-0.306458,9.953752
20:06:48 11/19/2013,16.000000,5.000000,0.165487,-0.312587,9.959881
20:06:53 11/19/2013,16.000000,5.000000,0.159358,-0.306458,9.953752
20:06:58 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.959881
20:07:04 11/19/2013,16.000000,5.000000,0.159122,-0.306458,9.965775
20:07:09 11/19/2013,16.000000,5.000000,0.158337,-0.306458,9.949664
20:07:14 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.954206
20:07:19 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.948530
20:07:25 11/19/2013,16.000000,5.000000,0.158513,-0.306458,9.954597
20:07:30 11/19/2013,16.000000,5.000000,0.159358,-0.306458,9.966010
20:07:35 11/19/2013,16.000000,5.000000,0.165487,-0.306458,9.953752
20:07:40 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.966010
20:07:45 11/19/2013,16.000000,5.000000,0.159358,-0.306458,9.941494
20:07:51 11/19/2013,16.000000,5.000000,0.159358,-0.306458,9.947622
20:07:56 11/19/2013,16.000000,5.000000,0.159358,-0.312587,9.959881
20:08:01 11/19/2013,16.000000,5.000000,0.165487,-0.306458,9.941494
20:08:06 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.966010
20:08:11 11/19/2013,16.000000,5.000000,0.171616,-0.306458,9.953752
20:08:17 11/19/2013,16.000000,5.000000,0.165487,-0.306458,9.959881
20:08:22 11/19/2013,16.000000,5.000000,0.177746,-0.306458,9.923106
20:08:27 11/19/2013,16.000000,5.000000,0.153229,-0.312587,9.953752
20:08:32 11/19/2013,16.153847,5.000000,0.159358,-0.306458,9.959881
20:08:37 11/19/2013,17.000000,5.000000,0.165487,-0.300329,9.984398
20:08:43 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.904718
20:08:48 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.947622
20:08:53 11/19/2013,16.000000,5.000000,0.153229,-0.312587,9.996656
20:08:58 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.953752
20:09:03 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.959881
20:09:08 11/19/2013,16.000000,5.000000,0.153229,-0.306458,9.947622
